testy\poz-los\68.400+160;409;10;2015;140;35
testy\poz-los\68.400+160;409;20;1840;151;37
testy\poz-los\68.400+160;409;30;1863;154;38
testy\poz-los\68.400+160;409;40;1827;158;39
testy\poz-los\68.400+160;409;50;1768;170;42
testy\poz-los\68.400+160;409;60;1698;178;44
testy\poz-los\68.400+160;409;70;1702;179;44
testy\poz-los\68.400+160;409;80;1743;180;45
testy\poz-los\68.400+160;409;90;1612;181;45
testy\poz-los\68.400+160;409;100;1647;191;47
testy\poz-los\68.400+160;409;110;1585;198;49
testy\poz-los\68.400+160;409;120;1594;203;50
testy\poz-los\68.400+160;409;130;1545;198;49
testy\poz-los\68.400+160;409;140;1564;191;47
testy\poz-los\68.400+160;409;150;1547;192;48
testy\poz-los\68.400+160;409;160;1496;204;51
testy\poz-los\68.400+160;409;170;1420;216;54
testy\poz-los\68.400+160;409;180;1410;211;52
testy\poz-los\68.400+160;409;190;1407;212;53
testy\poz-los\9.200+80;209;0;2428;24;12
testy\poz-los\9.200+80;209;10;1003;80;40
testy\poz-los\9.200+80;209;20;947;88;44
testy\poz-los\9.200+80;209;30;885;98;49
testy\poz-los\9.200+80;209;40;827;113;56
testy\poz-los\9.200+80;209;50;816;119;59
testy\poz-los\9.200+80;209;60;807;113;56
testy\poz-los\9.200+80;209;70;774;113;56
testy\poz-los\9.200+80;209;80;737;119;59
testy\poz-los\9.200+80;209;90;723;119;59
testy\poz-los\9.200+80;209;100;730;118;59
testy\poz-los\9.200+80;209;110;703;115;57
testy\poz-los\9.200+80;209;120;671;118;59
testy\poz-los\9.200+80;209;130;668;117;58
testy\poz-los\9.200+80;209;140;682;117;58
testy\poz-los\9.200+80;209;150;662;117;58
testy\poz-los\9.200+80;209;160;671;116;58
testy\poz-los\9.200+80;209;170;667;118;59
testy\poz-los\9.200+80;209;180;682;119;59
testy\poz-los\9.200+80;209;190;646;118;59
